kdrg_code,aadrg_code,kdrg_name,mdc_code
A2214,A221,,
A2215,A221,,
A2216,A221,,
A2217,A221,,
A2218,A221,,
A2219,A221,,
A2220,A222,,
A2221,A222,,
A2222,A222,,
A2223,A222,,
A2224,A222,,
A2225,A222,,
A2226,A222,,
A2227,A222,,
A2228,A222,,
A2229,A222,,
A2270,A227,,
A2271,A227,,
A2272,A227,,
A2273,A227,,
A2274,A227,,
A2275,A227,,
A2276,A227,,
A2277,A227,,
A2278,A227,,
A2279,A227,,
A2280,A228,,
A2281,A228,,
A2282,A228,,
A2283,A228,,
A2284,A228,,
A2285,A228,,
A2286,A228,,
A2287,A228,,
A2288,A228,,
A2289,A228,,
A2290,A229,,
A2291,A229,,
A2292,A229,,
A2293,A229,,
A2294,A229,,
A2295,A229,,
A2296,A229,,
A2297,A229,,
A2298,A229,,
A2299,A229,,
A2300,A230,,
A2301,A230,,
A2302,A230,,
A2303,A230,,
A2304,A230,,
A2305,A230,,
A2306,A230,,
A2307,A230,,
A2308,A230,,
A2309,A230,,
A2310,A231,,
A2311,A231,,
A2312,A231,,
A2313,A231,,
A2314,A231,,
A2315,A231,,
A2316,A231,,
A2317,A231,,
A2318,A231,,
A2319,A231,,
A2320,A232,,
A2321,A232,,
A2322,A232,,
A2323,A232,,
A2324,A232,,
A2325,A232,,
A2326,A232,,
A2327,A232,,
A2328,A232,,
A2329,A232,,
A2330,A233,,
A2331,A233,,
A2332,A233,,
A2333,A233,,
A2334,A233,,
A2335,A233,,
A2336,A233,,
A2337,A233,,
A2338,A233,,
A2339,A233,,
A2380,A238,,
A2381,A238,,
A2382,A238,,
A2383,A238,,
A2384,A238,,
A2385,A238,,
A2386,A238,,
A2387,A238,,
A2388,A238,,
A2389,A238,,
A2390,A239,,
A2391,A239,,
A2392,A239,,
A2393,A239,,
A2394,A239,,
A2395,A239,,
A2396,A239,,
A2397,A239,,
A2398,A239,,
A2399,A239,,
A2400,A240,,
A2401,A240,,
A2402,A240,,
A2403,A240,,
A2404,A240,,
A2405,A240,,
A2406,A240,,
A2407,A240,,
A2408,A240,,
A2409,A240,,
A2410,A241,,
A2411,A241,,
A2412,A241,,
A2413,A241,,
A2414,A241,,
A2415,A241,,
A2416,A241,,
A2417,A241,,
A2418,A241,,
A2419,A241,,
A2420,A242,,
A2421,A242,,
A2422,A242,,
A2423,A242,,
A2424,A242,,
A2425,A242,,
A2426,A242,,
A2427,A242,,
A2428,A242,,
A2429,A242,,
A2430,A243,,
A2431,A243,,
A2432,A243,,
A2433,A243,,
A2434,A243,,
A2435,A243,,
A2436,A243,,
A2437,A243,,
A2438,A243,,
A2439,A243,,
A2440,A244,,
A2441,A244,,
A2442,A244,,
A2443,A244,,
A2444,A244,,
A2445,A244,,
A2446,A244,,
A2447,A244,,
A2448,A244,,
A2449,A244,,
A2500,A250,,
A2501,A250,,
A2502,A250,,
A2503,A250,,
A2504,A250,,
A2505,A250,,
A2506,A250,,
A2507,A250,,
A2508,A250,,
A2509,A250,,
A2510,A251,,
A2511,A251,,
A2512,A251,,
A2513,A251,,
A2514,A251,,
A2515,A251,,
A2516,A251,,
A2517,A251,,
A2518,A251,,
A2519,A251,,
A2590,A259,,
A2591,A259,,
A2592,A259,,
A2593,A259,,
A2594,A259,,
A2595,A259,,
A2596,A259,,
A2597,A259,,
A2598,A259,,
A2599,A259,,
A2600,A260,,
A2601,A260,,
A2602,A260,,
A2603,A260,,
A2604,A260,,
A2605,A260,,
A2606,A260,,
A2607,A260,,
A2608,A260,,
A2609,A260,,
A2670,A267,,
A2671,A267,,
A2672,A267,,
A2673,A267,,
A2674,A267,,
A2675,A267,,
A2676,A267,,
A2677,A267,,
A2678,A267,,
A2679,A267,,
A2680,A268,,
A2681,A268,,
A2682,A268,,
A2683,A268,,
A2684,A268,,
A2685,A268,,
A2686,A268,,
